ï..Taxon,TPLName,Family,Reference,Year,Country,Population,Latitude,Longitude,Dry_storage,Setting,Sterilization,Nutrients,Substrate,Container_type,Container_size,Container_number,Number_per_container,Incubation_days,Scarification,Stratification_days,Stratification_temperature,Stratification_type,Stratification,Light,Photoperiod,Alternating,Tdif,Tmax,Tmin,Tmean,Temperature,Germinated,Number_seeds
Primula veris,Primula veris,Primulaceae,"Ahmad, H. H., J. D. (2007). ""Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field."" Seed Science and Technology 35(3): 624-637.",2006,USA,"Various suppliers from several countries, mainly USA",39.583333333333336,-95.96666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,20,30,N,60,4,Cold,Y,Y,16,Y,10,20,10,16.666666666666664,15,37,60
Primula veris,Primula veris,Primulaceae,"Ahmad, H. H., J. D. (2007). ""Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field."" Seed Science and Technology 35(3): 624-637.",2006,USA,"Various suppliers from several countries, mainly USA",39.583333333333336,-95.96666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,20,30,N,0,None,None,N,Y,16,Y,10,20,10,16.666666666666664,15,1,60
Primula vulgaris,Primula vulgaris,Primulaceae,"Ahmad, H. H., J. D. (2007). ""Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field."" Seed Science and Technology 35(3): 624-637.",2006,USA,"Various suppliers from several countries, mainly USA",39.583333333333336,-95.96666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,20,30,N,0,None,None,N,Y,16,Y,10,20,10,16.666666666666664,15,20,60
Primula vulgaris,Primula vulgaris,Primulaceae,"Ahmad, H. H., J. D. (2007). ""Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field."" Seed Science and Technology 35(3): 624-637.",2006,USA,"Various suppliers from several countries, mainly USA",39.583333333333336,-95.96666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,20,30,N,60,4,Cold,Y,Y,16,Y,10,20,10,16.666666666666664,15,49,60
Primula elatior,Primula elatior,Primulaceae,"Ahmad, H. H., J. D. (2007). ""Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field."" Seed Science and Technology 35(3): 624-637.",2006,USA,"Various suppliers from several countries, mainly USA",39.583333333333336,-95.96666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,20,30,N,0,None,None,N,Y,16,Y,10,20,10,16.666666666666664,15,0,60
Primula elatior,Primula elatior,Primulaceae,"Ahmad, H. H., J. D. (2007). ""Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field."" Seed Science and Technology 35(3): 624-637.",2006,USA,"Various suppliers from several countries, mainly USA",39.583333333333336,-95.96666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,20,30,N,150,4,Cold,Y,Y,16,Y,10,20,10,16.666666666666664,15,1,60
Zanthoxylum schinifolium,Zanthoxylum schinifolium,Rutaceae,"Ahn, S.-Y., et al. (2014). ""Effect of Pre-treatment Methods and Germination Promoter on the Seed Emergence of Zanthoxylum schinifolium."" Journal of Agriculture & Life Science 48(5): 9-17.",2013,South Korea,"Jirisan Fue, South Korea",35.333333333333336,127.71666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,100,16,N,240,4,Cold,Y,NA,NA,N,0,15,15,15,15,18,300
Zanthoxylum schinifolium,Zanthoxylum schinifolium,Rutaceae,"Ahn, S.-Y., et al. (2014). ""Effect of Pre-treatment Methods and Germination Promoter on the Seed Emergence of Zanthoxylum schinifolium."" Journal of Agriculture & Life Science 48(5): 9-17.",2013,South Korea,"Jirisan Fue, South Korea",35.333333333333336,127.71666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,100,16,Y,240,4,Cold,Y,NA,NA,N,0,20,20,20,20,93,300
Zanthoxylum schinifolium,Zanthoxylum schinifolium,Rutaceae,"Ahn, S.-Y., et al. (2014). ""Effect of Pre-treatment Methods and Germination Promoter on the Seed Emergence of Zanthoxylum schinifolium."" Journal of Agriculture & Life Science 48(5): 9-17.",2013,South Korea,"Jirisan Fue, South Korea",35.333333333333336,127.71666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,100,16,Y,240,4,Cold,Y,NA,NA,N,0,15,15,15,15,87,300
Zanthoxylum schinifolium,Zanthoxylum schinifolium,Rutaceae,"Ahn, S.-Y., et al. (2014). ""Effect of Pre-treatment Methods and Germination Promoter on the Seed Emergence of Zanthoxylum schinifolium."" Journal of Agriculture & Life Science 48(5): 9-17.",2013,South Korea,"Jirisan Fue, South Korea",35.333333333333336,127.71666666666667,Y,Incubator,,,Filter paper,Petri,9 cm,3,100,16,N,240,4,Cold,Y,NA,NA,N,0,25,25,25,25,54,300
